"id_calc","user_id","well_name","field_name","company","engineer","date_calc","id_instrument","id_calc_method","id_welltype","id_measurement","comment_or_info","top_perfo_tvd","top_perfo_md","bottom_perfo_tvd","bottom_perfo_md","qtest","sbhp","fbhp","producing_gor","wc","bht","sgw","sgg","qdes","psd","whp","psd_md","p_casing","pb","api","sgo","id_casing_size","id_casing_id","id_tubing_size","id_tubing_id","id_tubing_coeff","liner_id","top_liner_at","bottom_liner_at"
1,"user_id1","xxx","yyy","AAA","Name","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
2,"user_id2","xx21","yy2","AA1","Name1","05/30/2024",2,1,1,1,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
3,"user_id3","xx31","yy3","AA2","Name2","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
4,"user_id4","xx4","yy4","AA3","Name3","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
5,"user_id5","xx5","yy5","AA4","Name4","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
6,"user_id1","xx6","yy6","AA5","Name5","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
7,"user_id2","xx7","yy7","AA6","Name6","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
8,"user_id3","xx8","yy8","AA7","Name7","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
9,"user_id4","xx9","yy9","AA8","Name8","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
10,"user_id5","xx10","yyy","AAA","Name","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
11,"user_id1","xx11","yy2","AA1","Name1","05/30/2024",2,1,1,1,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
12,"user_id2","xx12","yy3","AA2","Name2","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
13,"user_id3","xx13","yy4","AA3","Name3","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
14,"user_id4","xx14","yy5","AA4","Name4","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
15,"user_id5","xx15","yy6","AA5","Name5","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
16,"user_id1","xx16","yy7","AA6","Name6","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
17,"user_id2","xx17","yy8","AA7","Name7","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
18,"user_id3","xx18","yy9","AA8","Name8","05/30/2024",1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,2,5,2,0,0,0
